"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"1465",231.05,236.5,230.01,234.31,4430800,234.31
"1466",235.88,235.94,227.95,228.49,3678700,228.49
"1467",230.92,230.92,222.92,222.92,6741300,222.92
"1468",228.6,238.71,226.69,238.24,11367500,238.24
"1469",236.32,238.7,230.5,232.89,4797600,232.89
"1470",234.23,234.55,231.34,232.14,3905100,232.14
"1471",234.01,237.4,232.11,232.42,3374700,232.42
"1472",232.04,234.83,230.11,234.33,1846100,234.33
"1473",235.41,237.75,234.45,237.56,2661300,237.56
"1474",235.65,235.66,229.42,232.06,3624200,232.06
"1475",232.22,233.45,227.1,227.35,2982400,227.35
"1476",226.26,230.97,224.6,226.31,3092500,226.31
"1477",226.59,229.22,225.41,226.47,2128800,226.47
"1478",225.12,227.9,224.71,226.6,2629800,226.6
"1479",226.5,227.41,222.51,222.95,3034100,222.95
"1480",222.3,225.16,218.18,220.6,3404700,220.6
"1481",221.31,226.25,218.64,225.23,4352800,225.23
"1482",228.32,232.5,227.45,229.71,3591200,229.71
"1483",230,233.82,229.5,233.78,2771700,233.78
"1484",233.84,238.67,232.75,238.03,2959300,238.03
"1485",239.89,240,236.48,239.88,1776800,239.88
"1486",240.39,244.32,238,243.62,4178300,243.62
"1487",243.22,245.67,241.54,243.4,3048500,243.4
"1488",242.45,247.23,241.5,247.11,2743400,247.11
"1489",248.05,252.48,247.5,251.27,5310500,251.27
"1490",250.38,252.65,248.27,252.05,3797400,252.05
"1491",252.54,254.16,250,250.33,2990600,250.33
"1492",249.94,253,248.66,252.49,3114700,252.49
"1493",252.44,255.55,250.38,253.96,2852200,253.96
"1494",253,255.17,251.51,253.37,3557900,253.37
"1495",254.14,255.21,252.01,253.27,2170300,253.27
"1496",253.1,254.78,247.3,247.77,3503800,247.77
"1497",248.5,253.48,246.65,250.69,4185200,250.69
"1498",251.07,254.36,250.06,251.76,2628100,251.76
"1499",251.11,254.54,250.02,251.25,2460200,251.25
"1500",250.11,251.9,247.79,249.19,2526900,249.19
"1501",249.81,254,249.26,253.86,2277000,253.86
"1502",254.57,263.11,254.57,260.4,4961000,260.4
